coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,creator,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
679488,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2961_1578667622_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2961_1578667622_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2961_1578667622_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2961_1578667622.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Curimatopsis macrolepis",,urn:uuid:707f1870-0de0-401b-acf5-820d2da56cff,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679488,StillImage,Photograph,en
679489,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2962_1578667704_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2962_1578667704_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2962_1578667704_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2962_1578667704.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Steindachnerina argentea",,urn:uuid:699f3dad-aeb8-4921-a387-e9d593de8286,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679489,StillImage,Photograph,en
679490,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2963_D_1578667776_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2963_D_1578667776_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2963_D_1578667776_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2963_D_1578667776.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Trachelyopterus  sp.",,urn:uuid:f2bbcf0e-e9d2-410a-aa9e-b63d3f34a905,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679490,StillImage,Photograph,en
679490,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2963_L_1578667795_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2963_L_1578667795_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2963_L_1578667795_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2963_L_1578667795.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro",Trachelyopterus sp.,,urn:uuid:73ced6cb-1508-4cc8-84fc-452b4249a3f9,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679490,StillImage,Photograph,en
679491,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2964_1578667851_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2964_1578667851_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2964_1578667851_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2964_1578667851.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Bryconops cf. inpai",,urn:uuid:bc620ac1-b0ea-4343-ac19-5d1d9096ecab,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679491,StillImage,Photograph,en
679492,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2965_V_1578605185_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2965_V_1578605185_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2965_V_1578605185_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2965_V_1578605185.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Centromochlus perugiae",,urn:uuid:f2d746bf-81fd-4080-929b-531c40f3ae31,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679492,StillImage,Photograph,en
679492,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2965_D_1578668079_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2965_D_1578668079_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2965_D_1578668079_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2965_D_1578668079.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Centromochlus perugiae",,urn:uuid:b85ca870-574c-49f1-95e1-5f117f8e9948,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679492,StillImage,Photograph,en
679493,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2966_1578668170_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2966_1578668170_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2966_1578668170_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2966_1578668170.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Bujurquina moriorum",,urn:uuid:0f74d656-ce8e-4314-837d-078c13fdc2b5,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679493,StillImage,Photograph,en
679494,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2967_1578668220_0_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2967_1578668220_0_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2967_1578668220_0_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2967_1578668220_0.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Crenicichla anthurus",,urn:uuid:d22a8f83-8870-4795-8be1-605285ab81d8,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679494,StillImage,Photograph,en
679495,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2968_1578668314_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2968_1578668314_lg.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2968_1578668314_tn.jpg,https://localhost/bndb/imagelib/INABIOEC_MECN-DP/00002/MECN-DP_2968_1578668314.jpg,http://creativecommons.org/licenses/by-nc/4.0/,"Gobierno del Ecuador- INABIO",,"CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)","Sin fines de lucro","Astyanax bimaculatus",,urn:uuid:c4ed8f19-19f1-40be-a4cb-7f6274268f9f,"2022-04-15 17:45:21",image/jpeg,https://localhost/bndb/collections/individual/index.php?occid=679495,StillImage,Photograph,en
