id,catalogNumber,stateProvince,county,locality,verbatimCoordinates,verbatimLatitude,verbatimLongitude,decimalLatitude,decimalLongitude,metodo_correccion,confianza_coordenada,coherencia_provincia,criterio_coherencia,dist_fuera_provincia_km,dist_centroide_km,coordenada_compartida,provincia_minoritaria,signo_ambiguo,dms_rango_invalido
1840995,5899,Pastaza,Pastaza,Bobonaza,01°92´44´´S 77° 32´18´´W,,,-2.545556,-77.538333,dms_directo,leida,discordante,poligono_gadm,46.11,93,FALSE,FALSE,FALSE,TRUE
1841013,5917,Pastaza,Pastaza,Bobonaza,01°92´44´´S 77°32´18´´W,,,-2.545556,-77.538333,dms_directo,leida,discordante,poligono_gadm,46.11,93,FALSE,FALSE,FALSE,TRUE
1841019,5923,Pastaza,Pastaza,Bobonaza,01°92´44´´S 77°32´18´´W,,,-2.545556,-77.538333,dms_directo,leida,discordante,poligono_gadm,46.11,93,FALSE,FALSE,FALSE,TRUE
1841020,5924,Pastaza,Pastaza,Bobonaza,01°92´44´´S 77°32´18´´W,,,-2.545556,-77.538333,dms_directo,leida,discordante,poligono_gadm,46.11,93,FALSE,FALSE,FALSE,TRUE
1841061,5965,Pastaza,Pastaza,Bobonaza,01°92´44´´S 77°32´18´´W,,,-2.545556,-77.538333,dms_directo,leida,discordante,poligono_gadm,46.11,93,FALSE,FALSE,FALSE,TRUE
1841085,5989,Pastaza,Pastaza,Bobonaza,01°92´44´´S 77°32´18´´W,,,-2.545556,-77.538333,dms_directo,leida,discordante,poligono_gadm,46.11,93,FALSE,FALSE,FALSE,TRUE
1841123,6027,Pastaza,Pastaza,Bobonaza,01°92´44´´S 77°32´18´´W,,,-2.545556,-77.538333,dms_directo,leida,discordante,poligono_gadm,46.11,93,FALSE,FALSE,FALSE,TRUE
1841137,6041,Morona Santiago,,Munchimkim,,-0.36903,-75.6590204,-0.36903,-75.65902,original,leida,discordante,poligono_gadm,270.24,351.3,FALSE,FALSE,FALSE,FALSE
1841138,6042,Morona Santiago,,Munchimkim,374445/9956142,,,-0.39672,-76.128285,utm_zona_32718,convertida,discordante,poligono_gadm,238.09,308.5,TRUE,TRUE,FALSE,FALSE
1841224,6128,Pastaza,,Sarayaku,,-1.7422,-77.974167,-1.7422,-77.974167,original,leida,discordante,poligono_gadm,7.47,55.7,FALSE,FALSE,FALSE,FALSE
1841521,6425,Pichincha,,Comunidad Cocotog,0787838 / 99.83656,,,,,irreparable,sin_coordenada,,,,,FALSE,FALSE,FALSE,FALSE
1841522,6426,Pichincha,,Comunidad Cocotog,0787838 / 99.83656,,,,,irreparable,sin_coordenada,,,,,FALSE,FALSE,FALSE,FALSE
1841523,6427,Pichincha,,Comunidad Cocotog,0787838 / 99.83656,,,,,irreparable,sin_coordenada,,,,,FALSE,FALSE,FALSE,FALSE
681169,5,Sucumbíos,Shushufindi,Canoa Estero Salobre,-0.459992° -80.454897°,-0.459992,-80.454897,-0.459992,-80.454897,original,leida,discordante,poligono_gadm,282.53,466.1,TRUE,TRUE,FALSE,FALSE
681280,6,Sucumbíos,Shushufindi,Canoa Estero Salobre,-0.459992° -80.454897°,-0.459992,-80.454897,-0.459992,-80.454897,original,leida,discordante,poligono_gadm,282.53,466.1,TRUE,TRUE,FALSE,FALSE
681314,63,Galápagos,Santa Cruz,Isla Marchena,-0.535185° -90.822260°,-0.535185,-90.82226,-0.535185,-90.82226,original,leida,fuera_de_tierra_firme,poligono_gadm,11.26,0,FALSE,FALSE,FALSE,FALSE
681347,66,Galápagos,,Varios Sitios,-0.535185° -90.822260°,-0.535185,-90.82226,-0.535185,-90.82226,original,leida,fuera_de_tierra_firme,poligono_gadm,11.26,0,FALSE,FALSE,FALSE,FALSE
681358,67,Galápagos,,Varios Sitios,-0.535185° -90.822260°,-0.535185,-90.82226,-0.535185,-90.82226,original,leida,fuera_de_tierra_firme,poligono_gadm,11.26,0,FALSE,FALSE,FALSE,FALSE
681369,68,Galápagos,Santa Cruz,Isla Marchena,-0.535185° -90.822260°,-0.535185,-90.82226,-0.535185,-90.82226,original,leida,fuera_de_tierra_firme,poligono_gadm,11.26,0,FALSE,FALSE,FALSE,FALSE
681380,69,Galápagos,,Varios Sitios,-0.960138° -90.750685°,-0.960138,-90.750685,-0.960138,-90.750685,original,leida,fuera_de_tierra_firme,poligono_gadm,12,48,FALSE,FALSE,FALSE,FALSE
681392,70,Galápagos,Isabela,Punta Espinoza,-0.960138° -90.750685°,-0.960138,-90.750685,-0.960138,-90.750685,original,leida,fuera_de_tierra_firme,poligono_gadm,12,48,FALSE,FALSE,FALSE,FALSE
681403,71,Galápagos,,Varios Sitios,-0.535185° -90.822260°,-0.535185,-90.82226,-0.535185,-90.82226,original,leida,fuera_de_tierra_firme,poligono_gadm,11.26,0,FALSE,FALSE,FALSE,FALSE
681447,75,Orellana,Shushufindi,Sureste de Shushufindi,-0.285390° -76.441282°,-0.28539,-76.441282,-0.28539,-76.441282,original,leida,discordante,poligono_gadm,18.72,82.7,FALSE,FALSE,FALSE,FALSE
677806,1489,Guayas,Daule,Oeste de Vinces,-1.557533° -79.758014°,-1.557533,-79.758014,-1.557533,-79.758014,original,leida,discordante,poligono_gadm,10.71,88.3,TRUE,TRUE,FALSE,FALSE
678191,1814,Pichincha,,Malimpia Chico,0.133663° -76.652616°,0.133663,-76.652616,0.133663,-76.652616,original,leida,discordante,poligono_gadm,132.51,236,TRUE,TRUE,FALSE,FALSE
678192,1815,Pichincha,,Malimpia Chico,0.133663° -76.652616°,0.133663,-76.652616,0.133663,-76.652616,original,leida,discordante,poligono_gadm,132.51,236,TRUE,TRUE,FALSE,FALSE
678991,2534,Loreto,Maynas,Distrito: Torres Causana Estero en campamento 2 Trocha 2,-0.565725° -75.205312°,-0.565725,-75.205312,-0.565725,-75.205312,original_transfronterizo,leida,coherente,poligono_gadm,0,,TRUE,TRUE,FALSE,FALSE
678992,2535,Loreto,Maynas,Distrito: Torres Causana Estero en campamento 2 Trocha 2,-0.565725° -75.205312°,-0.565725,-75.205312,-0.565725,-75.205312,original_transfronterizo,leida,coherente,poligono_gadm,0,,TRUE,TRUE,FALSE,FALSE
678993,2536,Loreto,Maynas,Distrito: Torres Causana Estero en campamento 2 Trocha 2,-0.565725° -75.205312°,-0.565725,-75.205312,-0.565725,-75.205312,original_transfronterizo,leida,coherente,poligono_gadm,0,,TRUE,TRUE,FALSE,FALSE
678994,2537,Loreto,Maynas,Distrito: Torres Causana Estero en campamento 2 Trocha 2,-0.565725° -75.205312°,-0.565725,-75.205312,-0.565725,-75.205312,original_transfronterizo,leida,coherente,poligono_gadm,0,,TRUE,TRUE,FALSE,FALSE
678995,2538,Loreto,Maynas,Distrito: Torres Causana Estero en campamento 2 Trocha 2,-0.565725° -75.205312°,-0.565725,-75.205312,-0.565725,-75.205312,original_transfronterizo,leida,coherente,poligono_gadm,0,,TRUE,TRUE,FALSE,FALSE
679467,2942,,,,,0.8205,-79.9737,0.8205,-79.9737,original,leida,no_evaluable,sin_provincia_declarada,,,FALSE,FALSE,FALSE,FALSE
679536,3003,Sucumbíos,Putumayo,Quebrada Miraflores,-0.046581° -78.634917°,-0.046581,-78.634917,-0.046581,-78.634917,original,leida,discordante,poligono_gadm,75.01,261.2,FALSE,FALSE,FALSE,FALSE
